timestamp;mac;hostname;cpu_percent;cpu_user;cpu_system;cpu_idle;cpu_cores;cpu_threads;memory_total_gb;memory_available;memory_used;memory_percent;swap_used;swap_percent;disk_write_time;disk_read_time;disk_read_bytes;disk_write_bytes;disk_read_count;disk_write_count;net_bytes_recv;net_bytes_sent;net_errors_in;net_errors_out;net_drops_in;net_drops_out
2026-08-30 12:26:51;74:40:bb:ff:30:8b;DESKTOP-ESK3ROD;33.8;252746.28125;81069.390625;1524819.015625;4;8;7.899723052978516;0.47264862060546875;7.427074432373047;94.0;4.505786895751953;24.0;16779;139229;749.1979985237122;293.4853286743164;19278869;6277738;0.22443246841430664;0.034413352608680725;0;0;0;0
2026-08-30 12:27:37;74:40:bb:ff:30:8b;DESKTOP-ESK3ROD;22.7;252790.21875;81101.359375;1525118.234375;4;8;7.899723052978516;0.4029273986816406;7.496795654296875;94.9;4.478595733642578;23.9;16790;139797;749.6016297340393;293.5003924369812;19282670;6278536;0.2255581272765994;0.03468101006001234;0;0;0;0
2026-09-04 16:29:36;74:40:bb:ff:30:8b;DESKTOP-ESK3ROD;28.5;155470.04687499997;43575.984375;885591.90625;4;8;7.899723052978516;0.6181640625;7.281558990478516;92.2;1.3206901550292969;8.8;9096;76068;371.47045850753784;197.19222259521484;9862285;6881154;0.018561284057796;0.01245435606688261;0;0;0;0
2026-09-04 16:35:24;74:40:bb:ff:30:8b;DESKTOP-ESK3ROD;34.5;156082.703125;43756.0625;887581.1718749999;4;8;7.899723052978516;1.5587997436523438;6.340923309326172;80.3;1.2209320068359375;8.1;9098;76079;371.8363814353943;197.2271852493286;9873218;6885351;0.019456454552710056;0.013159056194126606;0;0;0;0
2026-09-04 16:35:25;74:40:bb:ff:30:8b;DESKTOP-ESK3ROD;25.6;156086.46875;43758.828125;887590.4374999999;4;8;7.899723052978516;1.6392326354980469;6.260490417480469;79.2;1.2209320068359375;8.1;9098;76079;371.83917760849;197.22727298736572;9873274;6885361;0.019457275047898293;0.013162064366042614;0;0;0;0
2026-09-04 16:35:26;74:40:bb:ff:30:8b;DESKTOP-ESK3ROD;25.4;156088.046875;43759.359375;887596.9062499999;4;8;7.899723052978516;1.6561813354492188;6.243541717529297;79.0;1.2209320068359375;8.1;9098;76079;371.8393568992615;197.22748374938965;9873285;6885381;0.01946592889726162;0.013167031109333038;0;0;0;0
2026-09-04 16:35:27;74:40:bb:ff:30:8b;DESKTOP-ESK3ROD;22.6;156089.84375;43759.5;887603.1406249999;4;8;7.899723052978516;1.6510047912597656;6.24871826171875;79.1;1.2209320068359375;8.1;9098;76079;371.8394179344177;197.2274932861328;9873286;6885384;0.019535429775714874;0.013197747059166431;0;0;0;0
2026-09-04 16:35:28;74:40:bb:ff:30:8b;DESKTOP-ESK3ROD;15.9;156091.03125;43759.640625;887610.0624999999;4;8;7.899723052978516;1.6555824279785156;6.244140625;79.0;1.2209320068359375;8.1;9098;76079;371.8394179344177;197.22751140594482;9873286;6885388;0.01953918021172285;0.013198766857385635;0;0;0;0
2026-09-04 16:35:29;74:40:bb:ff:30:8b;DESKTOP-ESK3ROD;20.8;156092.546875;43759.84375;887616.6718749999;4;8;7.899723052978516;1.6505966186523438;6.249126434326172;79.1;1.2209320068359375;8.1;9098;76079;371.839478969574;197.22752285003662;9873287;6885390;0.019545990973711014;0.01319906860589981;0;0;0;0
2026-09-04 16:35:30;74:40:bb:ff:30:8b;DESKTOP-ESK3ROD;35.6;156094.609375;43760.59375;887621.9843749999;4;8;7.899723052978516;1.6644630432128906;6.235260009765625;78.9;1.2209320068359375;8.1;9098;76079;371.839478969574;197.22759914398193;9873287;6885404;0.019551215693354607;0.013210862874984741;0;0;0;0
